financial_year,type_of_hdb,no_of_cases,median_annual_value,property_tax_collection
2010,1 or 2 Room,8632,4500,190
2010,3 Room,213865,6300,16259
2010,4 Room,339721,8100,45089
2010,5 Room,209210,9000,37936
2010,Executive & Others,64613,9300,13046
2011,1 or 2 Room,9310,5400,242
2011,3 Room,214311,7800,15120
2011,4 Room,347111,9600,41575
2011,5 Room,212018,10800,35677
2011,Executive & Others,64858,11100,11929
2012,1 or 2 Room,10465,5400,301
2012,3 Room,215381,8700,25037
2012,4 Room,353814,10500,58422
2012,5 Room,214028,11400,45548
2012,Executive & Others,64953,12000,15107
2013,1 or 2 Room,12729,5400,328
2013,3 Room,218383,8940,26535
2013,4 Room,361255,10800,60632
2013,5 Room,215881,11700,47061
2013,Executive & Others,65006,12000,15602
2014,1 or 2 Room,16938,5400,356
2014,3 Room,222563,8640,23150
2014,4 Room,373416,10440,57919
2014,5 Room,221702,11340,44686
2014,Executive & Others,65005,11640,14175
2015,1 or 2 Room,19041,5400,364
2015,3 Room,226485,8340,20880
2015,4 Room,384906,10080,55798
2015,5 Room,226932,10920,43592
2015,Executive & Others,65001,11220,13623
2016,1 or 2 Room,20925,5400,418
2016,3 Room,229746,7860,18514
2016,4 Room,395335,9600,50305
2016,5 Room,232069,10380,40927
2016,Executive & Others,65014,10680,12712
2017,1 or 2 Room,25985,5400,421
2017,3 Room,234846,7860,17748
2017,4 Room,408310,9600,48672
2017,5 Room,237748,10380,39115
2017,Executive & Others,65028,10680,11991
